timestamp,cpu_percent,memory_mb,load_1min,load_5min,load_15min,processes,tcp_connections
2025-08-08 22:10:36,42.9,3528,6.72,5.99,3.59,46,637
2025-08-08 22:10:42,52.4,3562,6.91,6.04,3.62,49,611
2025-08-08 22:10:48,42.9,3507,6.59,5.99,3.62,46,626
2025-08-08 22:10:54,46.5,3510,7.95,6.30,3.75,46,670
2025-08-08 22:11:00,48.9,3510,8.43,6.43,3.80,46,665
2025-08-08 22:11:06,36.4,3514,9.44,6.67,3.89,46,656
2025-08-08 22:11:12,46.5,3520,10.20,6.87,3.98,46,605
2025-08-08 22:11:18,45.2,3529,10.03,6.89,4.00,46,637
2025-08-08 22:11:24,45.5,3528,11.47,7.24,4.13,46,624
2025-08-08 22:11:30,47.6,3534,13.13,7.73,4.32,46,630
2025-08-08 22:11:36,45.2,3570,12.47,7.69,4.32,46,617
2025-08-08 22:11:41,48.8,3477,12.52,7.77,4.37,46,643
2025-08-08 22:11:47,54.8,3486,13.44,8.04,4.47,46,642
2025-08-08 22:11:53,42.9,3521,14.44,8.34,4.59,46,637
2025-08-08 22:11:59,43.2,3528,15.43,8.76,4.77,47,621
2025-08-08 22:12:05,42.2,3562,14.51,8.68,4.76,46,643
2025-08-08 22:12:11,41.3,3544,15.11,8.90,4.86,46,638
2025-08-08 22:12:17,46.5,3567,16.14,9.22,4.98,46,637
2025-08-08 22:12:23,43.2,3535,15.73,9.25,5.01,46,621
2025-08-08 22:12:29,47.8,3564,15.18,9.34,5.09,46,665
2025-08-08 22:12:35,44.9,3494,16.29,9.67,5.22,46,677
2025-08-08 22:12:41,44.2,3511,16.75,9.87,5.31,46,684
2025-08-08 22:12:47,45.5,3508,16.13,9.86,5.33,46,651
2025-08-08 22:12:53,44.2,3518,16.60,10.06,5.42,46,649
2025-08-08 22:12:59,45.0,3525,15.74,10.09,5.48,46,641
2025-08-08 22:13:05,42.2,3553,15.76,10.19,5.53,46,659
2025-08-08 22:13:11,45.5,3523,15.86,10.30,5.60,46,635
2025-08-08 22:13:17,46.8,3581,15.55,10.33,5.63,46,665
2025-08-08 22:13:23,38.6,3554,15.83,10.47,5.70,46,629
2025-08-08 22:13:29,52.2,3529,16.56,10.71,5.81,46,617
2025-08-08 22:13:35,44.2,3513,17.61,11.14,6.00,46,632
2025-08-08 22:13:41,46.7,3533,17.25,11.17,6.04,46,650
2025-08-08 22:13:47,44.2,3549,16.66,11.15,6.06,46,657
2025-08-08 22:13:53,43.2,3532,16.77,11.26,6.12,46,662
2025-08-08 22:13:59,45.7,3550,16.87,11.37,6.18,46,642
2025-08-08 22:14:05,47.6,3547,16.95,11.58,6.31,46,657
2025-08-08 22:14:11,42.9,3536,17.44,11.77,6.40,46,661
2025-08-08 22:14:17,46.8,3532,17.80,11.93,6.48,46,639
2025-08-08 22:14:23,45.5,3480,17.90,12.05,6.55,46,652
2025-08-08 22:14:29,54.3,3529,17.83,12.14,6.60,46,628
2025-08-08 22:14:35,42.9,3511,18.16,12.39,6.75,46,610
2025-08-08 22:14:41,44.9,3540,17.35,12.32,6.75,47,692
2025-08-08 22:14:47,45.7,3524,17.08,12.35,6.79,45,667
2025-08-08 22:14:52,41.9,3538,17.87,12.59,6.90,46,659
2025-08-08 22:14:58,56.8,3573,17.64,12.63,6.95,47,673
2025-08-08 22:15:04,48.8,3518,17.48,12.76,7.05,46,663
2025-08-08 22:15:10,47.8,3540,17.92,12.93,7.14,46,635
2025-08-08 22:15:16,46.7,3568,17.85,13.00,7.19,46,673
2025-08-08 22:15:22,43.9,3510,17.62,13.03,7.23,46,628
2025-08-08 22:15:28,43.5,3499,17.09,13.00,7.25,46,632
2025-08-08 22:15:34,37.0,3523,17.24,13.10,7.31,46,678
